ID,URL,Desc_short,Status,Description
0017072,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017072,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"229.1 Miles of Rumble Strips project along 22 State Routes in Talbot, Henry, Spalding, Taylor, Pike and Upson counties."
0017073,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017073,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"160.3Miles of Rumble Strips project along SR85,SR315,SR1,SR103,SR354,SR190,SR219,SR208,SR520,SR219,SR22,SR1& SR355.

"
0017074,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017074,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"209.8 Miles of Rumble Strips project along SR520,SR27,SR355,SR240,SR137,SR352,SR127,SR1& SR39."
0017075,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017075,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"191.3 Miles of Rumble Strips project along SR11,SR127,SR247,SR224,SR230,SR27,SR112,SR257, SR230,SR90,SR258,SR215 & SR329. "
0017076,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017076,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"161.5 Miles of Rumble Strips project along SR127,SR224,SR90,SR329,SR240,SR128,SR195,SR27,SR377,SR228,SR118,SR271& SR240."
0017077,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017077,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"161.4 miles of Rumble Strips projects along 15 State Routes in Bibb, Peach, Monroe, Crawford, Twiggs and Jones counties."
0017078,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017078,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"219.22 Miles of Rumble Strips project along 24 State Routes in Coweta, Troup, Fayette and Meriwether counties.  "
0017079,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017079,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"158 Miles of Rumble Strips project along 17 State Routes in Berrien, Lanier, Lowndes, Echols and Brooks counties. "
0017080,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017080,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"164.34 Miles of Rumble Strips project along 17 State Routes in Coffee, Irwin, Atkinson, Ben Hill, Wilcox and Turner counties."
0017081,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017081,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"72.4 Miles of Rumble Strips project along 16 State Routes in Grady, Early, Baker, Miller & Seminole counties."
0017082,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0017082,Various Locations - Rumble Strips,COMPLETED-CONSTRUCTION,"197.4 Miles of Rumble Strips project along 16 State Routes in Thomas, Colquitt, Tift, Mitchell and Worth counties."
